%Date/Time,            BP (mb) 
732897.7500,775.1000 
732897.7708,775.1000 
732897.7917,775.1000 
732897.8125,775.5000 
732897.8333,775.8000 
732897.8542,775.6000 
732897.8750,774.1000 
732897.8958,774.5000 
732897.9167,772.2000 
732897.9375,774.5000 
732897.9583,775.7000 
732897.9792,776.3000 
732898.0000,776.2000 
732898.0208,775.4000 
732898.0417,775.3000 
732898.0625,774.0000 
732898.0833,772.9000 
732898.1042,774.1000 
732898.1250,774.4000 
732898.1458,772.1000 
732898.1667,770.0000 
732898.1875,772.0000 
732898.2083,772.8000 
732898.2292,772.5000 
732898.2500,770.3000 
732898.2708,770.1000 
732898.2917,770.3000 
732898.3125,770.1000 
732898.3333,771.6000 
732898.3542,773.7000 
732898.3750,774.7000 
732898.3958,776.7000 
732898.4167,777.4000 
732898.4375,779.1000 
732898.4583,777.7000 
732898.4792,778.2000 
732898.5000,782.6000 
732898.5208,784.8000 
732898.5417,783.8000 
732898.5625,782.6000 
732898.5833,784.1000 
732898.6042,783.5000 
732898.6250,778.4000 
732898.6458,778.4000 
732898.6667,778.4000 
732898.6875,778.4000 
732898.7083,778.2000 
732898.7292,778.2000 
732898.7500,778.2000 
732898.7708,778.1000 
732898.7917,778.2000 
732898.8125,778.2000 
732898.8333,778.4000 
732898.8542,778.4000 
732898.8750,778.4000 
732898.8958,778.4000 
732898.9167,778.5000 
732898.9375,778.6000 
732898.9583,778.7000 
732898.9792,778.8000 
732899.0000,778.9000 
732899.0208,778.9000 
732899.0417,779.0000 
732899.0625,779.0000 
732899.0833,779.0000 
732899.1042,779.0000 
732899.1250,778.9000 
732899.1458,778.9000 
732899.1667,778.8000 
732899.1875,778.6000 
732899.2083,778.6000 
732899.2292,778.5000 
732899.2500,778.4000 
732899.2708,778.4000 
732899.2917,778.2000 
732899.3125,778.2000 
732899.3333,778.3000 
732899.3542,778.2000 
732899.3750,778.2000 
732899.3958,778.1000 
732899.4167,778.1000 
732899.4375,778.1000 
732899.4583,778.1000 
732899.4792,778.1000 
732899.5000,778.1000 
732899.5208,778.0000 
732899.5417,778.2000 
732899.5625,778.0000 
732899.5833,778.0000 
732899.6042,778.0000 
732899.6250,778.0000 
732899.6458,778.0000 
732899.6667,778.1000 
732899.6875,777.6000 
732899.7083,777.8000 
732899.7292,777.6000 
732899.7500,777.6000 
732899.7708,777.4000 
732899.7917,777.3000 
732899.8125,777.5000 
732899.8333,777.6000 
732899.8542,777.6000 
732899.8750,777.6000 
732899.8958,777.5000 
732899.9167,777.6000 
732899.9375,777.5000 
732899.9583,777.5000 
732899.9792,777.6000 
732900.0000,777.5000 
732900.0208,777.2000 
732900.0417,777.4000 
732900.0625,777.2000 
732900.0833,777.1000 
732900.1042,777.1000 
732900.1250,776.9000 
732900.1458,776.7000 
732900.1667,776.6000 
732900.1875,776.3000 
732900.2083,776.2000 
732900.2292,775.9000 
732900.2500,775.6000 
732900.2708,775.4000 
732900.2917,775.2000 
732900.3125,775.0000 
732900.3333,774.5000 
732900.3542,774.6000 
732900.3750,774.4000 
732900.3958,774.1000 
732900.4167,773.9000 
732900.4375,773.7000 
732900.4583,773.7000 
732900.4792,773.7000 
732900.5000,773.4000 
732900.5208,773.3000 
732900.5417,773.3000 
732900.5625,773.4000 
732900.5833,773.0000 
732900.6042,772.9000 
732900.6250,772.8000 
732900.6458,772.8000 
732900.6667,772.8000 
732900.6875,772.7000 
732900.7083,772.8000 
732900.7292,772.7000 
732900.7500,772.3000 
732900.7708,772.3000 
732900.7917,772.1000 
732900.8125,772.3000 
732900.8333,772.3000 
732900.8542,772.3000 
732900.8750,772.3000 
732900.8958,772.3000 
732900.9167,772.2000 
732900.9375,771.8000 
732900.9583,771.8000 
732900.9792,771.9000 
732901.0000,771.9000 
732901.0208,771.9000 
732901.0417,771.7000 
732901.0625,771.8000 
732901.0833,771.5000 
732901.1042,771.4000 
732901.1250,771.4000 
732901.1458,771.3000 
732901.1667,771.4000 
732901.1875,771.4000 
732901.2083,771.5000 
732901.2292,771.6000 
732901.2500,771.5000 
732901.2708,771.5000 
732901.2917,771.6000 
732901.3125,771.6000 
732901.3333,771.6000 
732901.3542,771.8000 
732901.3750,772.0000 
732901.3958,772.0000 
732901.4167,772.0000 
732901.4375,772.2000 
732901.4583,772.3000 
732901.4792,772.3000 
732901.5000,772.4000 
732901.5208,772.6000 
732901.5417,772.6000 
732901.5625,772.6000 
732901.5833,772.8000 
732901.6042,772.6000 
732901.6250,772.6000 
732901.6458,772.3000 
732901.6667,772.4000 
732901.6875,772.7000 
732901.7083,772.9000 
732901.7292,772.9000 
732901.7500,772.9000 
732901.7708,772.9000 
732901.7917,772.7000 
732901.8125,772.9000 
732901.8333,772.7000 
732901.8542,772.7000 
732901.8750,772.7000 
732901.8958,772.7000 
732901.9167,772.9000 
732901.9375,773.0000 
732901.9583,773.0000 
732901.9792,773.3000 
732902.0000,773.3000 
732902.0208,773.5000 
732902.0417,773.5000 
732902.0625,773.6000 
732902.0833,773.7000 
732902.1042,773.9000 
732902.1250,773.6000 
732902.1458,773.7000 
732902.1667,773.6000 
732902.1875,773.6000 
732902.2083,773.5000 
732902.2292,773.5000 
732902.2500,773.7000 
732902.2708,773.9000 
732902.2917,773.9000 
732902.3125,773.9000 
732902.3333,773.9000 
732902.3542,774.1000 
732902.3750,774.3000 
732902.3958,774.3000 
732902.4167,774.5000 
732902.4375,774.5000 
732902.4583,774.6000 
732902.4792,774.7000 
732902.5000,774.9000 
732902.5208,775.0000 
732902.5417,775.2000 
732902.5625,775.3000 
732902.5833,775.4000 
732902.6042,775.4000 
732902.6250,775.3000 
732902.6458,775.6000 
732902.6667,775.6000 
732902.6875,775.6000 
732902.7083,775.8000 
732902.7292,775.7000 
732902.7500,775.7000 
732902.7708,775.8000 
732902.7917,775.9000 
732902.8125,775.8000 
732902.8333,775.8000 
732902.8542,776.1000 
732902.8750,776.3000 
732902.8958,776.3000 
732902.9167,776.3000 
732902.9375,776.5000 
732902.9583,776.7000 
732902.9792,776.8000 
732903.0000,776.7000 
732903.0208,776.8000 
732903.0417,776.8000 
732903.0625,777.0000 
732903.0833,776.9000 
732903.1042,776.9000 
732903.1250,776.9000 
732903.1458,776.9000 
732903.1667,776.9000 
732903.1875,776.9000 
732903.2083,777.0000 
732903.2292,777.0000 
732903.2500,777.0000 
732903.2708,777.1000 
732903.2917,777.1000 
732903.3125,777.3000 
732903.3333,777.3000 
732903.3542,777.4000 
732903.3750,777.5000 
732903.3958,777.5000 
732903.4167,777.5000 
732903.4375,777.2000 
732903.4583,777.3000 
732903.4792,777.2000 
732903.5000,777.1000 
732903.5208,777.1000 
